time,lyrics
0,
14580,day by day 憧れて
17050,step by step 積み重ね
19930,君とつむぐ未来
24253,one by one 乗り越えて
26920,by and by 手繰り寄せた
29472,たった一度の[舞台]<ステージ>
33769,
33770,舞い散る花びらを従えて
37470,いま羽ばたこう
39420,時空飛んで 次元も超えて
43594,[天]<そら>が堕ちてく fragrance
46150,神さま 惑わせたい
48900,このまま 離さない ゆずれない 渡さない
55260,
56030,ドキドキってもっと phantasia
58620,手を伸ばし つかもう
61230,きゅんとぎゅっと鼓動が こんなに苦しい ねえ
66170,やっと逢えたこの[瞬間]<とき>
68461,素直に ありがとう
70917,ずっとずっと待っていた
73330,わたしは flowering phantasia
78591,
78592,いいよね このまま
83197,世界中 敵に回っても
88109,いいよね いいよね いいよね このまま
93070,離さない ゆずれない 逃がさない 渡さない
99468,
100082,ドキドキってもっと phantasia
102845,手を伸ばし つかもう
105570,きゅんとぎゅっと衝動が こんなにいとしい ねえ
110400,やっと逢えたこの[瞬間]<とき>
112669,素直に ありがとう
115432,ずっとずっと待っていた
117720,わたしは [彩]<いろどり> phantasia
124180,
124949,ありがとう
128939,
