time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
1,Wah,145,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
8625,Oioi,160,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
53625,Lala,80,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
77625,Lala,40,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
79875,Oioi,160,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
92625,Bye,40,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
101625,Bye,80,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
103125,Bye,20,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
106500,Lala,80,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
117000,Lala,40,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
121125,Oioi,160,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
138000,Wah,145,Random4,Red01,Yellow03,Purple01,Purple02,,,,,,
