time,lleft,left,center,right,rright
0,1,1,1,1,1
26133,0,0,1,0,0
28644,1,1,1,1,1
29046,0,0,1,0,0
31556,0,1,0,0,0
33799,1,1,1,1,1
34373,1,0,0,1,1
37114,0,0,0,1,0
39139,1,1,1,1,1
39812,0,0,0,1,0
42221,0,0,0,0,1
44585,1,1,1,1,1
45137,1,1,1,0,0
47771,1,0,0,0,0
53023,0,1,1,0,0
55807,1,0,0,1,1
57047,1,1,1,0,0
58555,0,0,1,1,1
59897,1,1,1,1,1
74572,1,1,0,0,0
75721,0,0,0,1,1
77130,0,0,1,0,0
79807,1,1,1,1,1
116032,1,1,0,0,0
117212,0,0,0,1,1
118582,0,0,1,0,0
121207,1,1,1,1,1
123867,0,0,1,1,1
125196,1,1,1,0,0
126629,1,1,1,1,1
