time,lleft,left,center,right,rright,lleft_vol,left_vol,center_vol,right_vol,right_vol,lleft_pan,left_pan,center_pan,right_pan,rright_pan
0,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999
30405,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999
36248,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
41530,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
46562,0,0,0,0,1,999,999,999,999,999,999,999,999,999,999
51770,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
56445,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
58324,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999
69421,1,1,0,0,0,999,999,999,999,999,999,999,999,999,999
74630,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999
82008,0,0,0,1,1,999,999,999,999,999,999,999,999,999,999
85820,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
87770,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999
100000,1,1,1,1,1,999,999,999,999,999,0.3,0.15,999,-0.15,-0.3
110754,0,0,0,1,1,999,999,999,999,999,999,999,999,0.15,-0.15
115893,1,1,1,1,1,999,999,999,999,999,0.3,0.15,999,-0.15,-0.3
123292,1,1,0,0,0,999,999,999,999,999,0.15,-0.15,999,-0.15,999
127114,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
129120,1,1,1,1,1,999,999,999,999,999,0.3,0.15,999,-0.15,-0.3
140000,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999
