time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,0,0,1,1,1,0,0,999,999,0.72,0.52,0.52,999,999,999,999,0,-0.32,0.32,999,999,1
9950,0,0,1,1,1,0,0,999,999,0.52,0.52,0.72,999,999,999,999,-0.32,0.32,0,999,999,1
13600,0,0,1,1,1,0,0,999,999,0.52,0.72,0.52,999,999,999,999,-0.32,0,0.32,999,999,1
16800,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
22700,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
26500,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
30000,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
31800,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
37800,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
41600,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
45400,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
48650,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
52850,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
57800,0,0,1,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
60400,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
65350,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
80200,0,0,1,2,1,0,0,999,999,0.7,0,0.7,999,999,999,999,-0.15,999,0.15,999,999,1
82900,0,0,1,2,1,0,0,999,999,0.7,1,0.7,999,999,999,999,-0.15,0,0.15,999,999,1
85000,0,0,1,2,0,0,0,999,999,1,0.9,999,999,999,999,999,0,0,999,999,999,1
87350,0,0,0,1,1,0,0,999,999,999,0,1,999,999,999,999,999,0,0,999,999,1
89450,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
93000,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
96150,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
110300,0,0,0,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
112880,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
117850,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
139000,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
142700,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
146300,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
148050,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
